gene,n_pairs,r
SLC6A21P,118,0.3116
RPL10,18121,0.3116
ENSG00000276269,66,0.3116
H2BP9,128,0.3114
TBC1D3,872,0.3114
ENSG00000290393,59,0.3111
MAP3K12,17952,0.3109
RBAKDN,44,0.3106
RPL7AP52,44,0.3106
CFL1,18325,0.3104
RPS27AP20,23,0.3104
TUBB,18309,0.3104
ENSG00000285739,159,0.3102
ENSG00000181514,89,0.3102
RELA,18219,0.3099
ENSG00000283402,126,0.3098
ENSG00000285811,68,0.3097
TRMT112P6,265,0.3097
LSAMP,18320,0.3096
NPAS2,18327,0.3096
ACLY,18220,0.3095
ITPR3,18297,0.3094
CALU,18329,0.3094
MAML3,18329,0.3094
PNRC1,18319,0.3092
ENSG00000264179,47,0.3092
NRG1,18322,0.3091
PER3P1,40,0.309
RPS4X,18321,0.3088
RN7SL201P,83,0.3082
ENSG00000236022,52,0.308
AHDC1,18242,0.3079
LINC00269,364,0.3078
KRT18,18329,0.3075
SPTAN1,18329,0.3075
PCBP1,18251,0.3074
MAFK,18278,0.3073
ARHGDIA,18216,0.3073
HSPD1,18329,0.3072
PCNX3,17810,0.3072
MBD6,17862,0.3072
ANKZF1,18090,0.307
ENSG00000255977,362,0.3069
KRT8P20,77,0.3068
EMP1,18310,0.3068
DSG2,18326,0.3067
AP3B1,18329,0.3066
EIF4A1,18325,0.3064
RIMBP3C,48,0.3063
GFPT1,18329,0.3062
MAP7D1,18099,0.3061
RAB5CP2,106,0.306
HSPH1,18273,0.306
LINC01043,157,0.3059
THBS1,18166,0.3059
LINC02184,36,0.3058
FBXL20,18327,0.3058
TNFRSF12A,17853,0.3057
PTPRT-AS1,80,0.3057
SRSF1,18269,0.3056
NALF1,18329,0.3053
TSPYL2,18083,0.3051
ENSG00000272872,9834,0.305
GPC6,18329,0.3045
BTBD7P2,152,0.3045
ZMYND8,18329,0.3045
C15orf39,17699,0.3043
SLC7A11,18327,0.3042
SBF1P2,29,0.3042
ENSG00000213293,267,0.3042
RNU6-121P,73,0.3041
DUSP1,18190,0.3041
H2BC1,788,0.3037
SQSTM1,18329,0.3037
ENSG00000215835,13304,0.3036
BGLT3,62,0.3033
SLMAP,18329,0.3032
RPSAP47,391,0.3031
JMJD1C,18329,0.3031
PRELID3BP1,67,0.3031
SLC5A3,18326,0.303
DANT2,18290,0.3027
ENSG00000226423,70,0.3026
MAGI1,18329,0.3024
LRCH3,18329,0.3015
SCARNA17,12052,0.3013
HLA-U,3993,0.3009
TMA7,18098,0.3009
RPL7AP34,102,0.3004
DENND4C,18329,0.3004
RNU1-22P,381,0.3004
ARHGAP26,18329,0.3004
NXNP1,91,0.3001
ENSG00000278982,117,0.2999
RBPJ,18329,0.2999
FAM114A1,18307,0.2999
FEM1AP4,44,0.2998
RHOB,18184,0.2997
IGFBP3,18325,0.2996
MED6P1,91,0.2994
PSD3,18329,0.2994
HILPDA,18323,0.2993
CD68,18032,0.2993
ENSG00000277535,111,0.2992
MBOAT2,18323,0.2992
ZMYM2,18329,0.2992
RPL35AP31,154,0.299
INPPL1,17853,0.299
ENSG00000286246,71,0.2989
RPS15AP14,95,0.2988
MEF2AP1,109,0.2987
ETV5,18278,0.2986
ENSG00000289474,16544,0.2985
ENSG00000287417,74,0.2984
TMEM263,18329,0.2984
SBF1,17982,0.2981
AGPAT1,17808,0.2981
OR13C3,65,0.2977
RNF145,18329,0.2977
MTND4P12,17076,0.2976
RHOT1P2,704,0.2974
KIF5C,17820,0.2973
VCY1B,69,0.2972
ATP1A1,18322,0.2972
ENSG00000274422,18211,0.2971
PDIA6,18325,0.2971
HNRNPAB,18119,0.2966
LL22NC01-81G9.3,202,0.2963
ENSG00000284706,195,0.2956
ZBTB20,18329,0.2955
TMEM41B,18327,0.2952
ADAMTS6,18316,0.2951
ENSG00000252778,203,0.295
SEMA4B,18324,0.2949
ENSG00000285764,237,0.2949
TAOK2,17803,0.2948
PABPC1,18329,0.2945
PRKCA,18329,0.2941
HNRNPA3,18324,0.2941
MGAT5,18329,0.294
ENSG00000262187,66,0.294
IFIT3,18278,0.2939
INSIG2,18321,0.2939
ENSG00000251342,55,0.2939
ENSG00000213209,227,0.2938
GCC2,18329,0.2936
EIF4A2,18328,0.2936
RN7SKP188,89,0.2935
MSMO1,18229,0.2934
SLC35F3,18199,0.2934
H2AC7,16053,0.2934
FUS,18329,0.2932
KLF7,18328,0.2931
CRP,221,0.2931
AKT1S1,17738,0.2927
STIP1,18209,0.2927
ENSG00000228974,44,0.2925
EIF5A,18286,0.2924
Metazoa_SRP-142,624,0.2922
BLZF1,18329,0.2921
NFKB2,18221,0.2917
IER3,18314,0.2916
ENSG00000248790,177,0.2915
SNHG22,17686,0.2914
ADAD1P2,57,0.2914
H2AC12,16226,0.2912
ADAM24P,81,0.2912
ENSG00000275314,111,0.291
OAZ1P1,38,0.2909
ARRDC3,18321,0.2908
CAPN2,18327,0.2905
HIF1A-AS3,18323,0.2903
MAP1B,18329,0.2903
LAMA5,18195,0.2902
ARFGAP1,18121,0.2901
LINC00511,18329,0.2901
ENSG00000235979,17490,0.2899
SERPINE1,18329,0.2898
MCTP1,18325,0.2898
INF2,18099,0.2898
RPL29P12,222,0.2897
SDHA,18271,0.2896
ENSG00000267683,48,0.2895
FDPS,18260,0.2895
COG6,18327,0.2894
SETD5,18329,0.2893
RAB11B,17927,0.2892
RN7SL317P,142,0.2892
PAM,18329,0.2892
RICTOR,18329,0.289
HSPD1P15,38,0.289
MYO1E,18329,0.2889
ZFPM2-AS1,18307,0.2889
PTPN12,18329,0.2888
ENSG00000257124,84,0.2888
MAP4,18329,0.2885
TBC1D8,18329,0.2884
SOWAHCP2,2382,0.2883
TOP1,18329,0.2883
RPSAP22,66,0.2881
PLXNB3,16280,0.2881
MAP2K1,18327,0.288
SHB,18305,0.2879
ENSG00000269873,12418,0.2879
H1-3,17223,0.2876
IPO4,17589,0.2875
H3C12,17532,0.2875
PTPRM,18329,0.2875
DUSP5,18255,0.2874
ENSG00000231136,596,0.2874
ENSG00000259907,47,0.2873
KLF10,18296,0.2872
KCNQ5,18280,0.2871
MYC,18132,0.287
SLC6A6,18294,0.2867
SEPTIN8,17893,0.2866
HK2,18329,0.2866
PLOD1,18194,0.2866
PHC2,18309,0.2865
PDE8A,18329,0.2864
ENSG00000279172,107,0.2864
ENSG00000286921,176,0.2863
NIPBL,18329,0.2863
RN7SKP203,14856,0.2862
LINC01004,18321,0.2862
ENSG00000249791,104,0.2862
ENSG00000225813,4838,0.2861
PRELID2,18328,0.286
AJM1,17171,0.2859
EXT1,18329,0.2859
CCND1,18319,0.2858
STK4,18323,0.2858
PYGL,18321,0.2856
ATF3,18216,0.2856
TRIM43B,104,0.2855
LINC00513,18153,0.2855
SEMA3C,18326,0.2853
TUBAP10,186,0.2853
Y_RNA-253,39,0.2853
AREG,18326,0.2852
CCNL1,18329,0.2852
ENSG00000269888,162,0.2852
PRELID3B,18131,0.2851
APLP2,18329,0.2851
IFIT1,18237,0.285
RBM25,18329,0.285
NANOGNBP1,57,0.2849
ENSG00000232220,17677,0.2849
THSD4,18305,0.2849
ENSG00000216687,23,0.2848
MXI1,18316,0.2848
ENSG00000236387,2146,0.2846
PBXIP1,17611,0.2845
FAM172A,18329,0.2844
CLU,18184,0.2844
ENSG00000290574,15334,0.2844
FRY,18311,0.2843
RPL15P20,159,0.2842
ENSG00000255421,33,0.2841
PHRF1,18159,0.284
MEF2D,18306,0.2839
PARP14,18329,0.2838
ENSG00000285043,17485,0.2838
UGT2B25P,100,0.2837
MET,18329,0.2836
DDX41,17986,0.2836
RPS3A,18128,0.2833
TSC22D3,17949,0.2833
ENSG00000267143,324,0.2832
ATP13A1,17622,0.2831
PPFIA4,18250,0.283
ENSG00000284617,153,0.2829
TXNDC11,18313,0.2828
RPL21,18302,0.2828
EXTL2P1,191,0.2827
EIF4G2,18329,0.2826
ROCK1,18329,0.2826
ENSG00000255173,99,0.2824
TPD52,18329,0.2824
NBEA,18312,0.2824
ENSG00000233492,545,0.2823
KIAA1217,18324,0.2822
ARL15,18328,0.2821
APOL2,18217,0.282
SF3B4,17739,0.2819
BPIFA4P,1039,0.2818
NUFIP2,18329,0.2817
PAPOLA,18329,0.2817
PHB1P20,85,0.2816
CALR,18321,0.2813
UBXN7,18318,0.2812
FMNL2,18329,0.2812
HIKESHIP3,279,0.2812
ENSG00000270324,166,0.2809
RAB1A,18329,0.2809
IFIH1,18290,0.2809
HELLS,18250,0.2807
SNORA71-2,299,0.2807
LINC02934,18019,0.2807
DHX38,18100,0.2805
CEP72,17996,0.2804
MTATP6P10,60,0.2804
TMCC1,18329,0.2804
ITGB1,18329,0.2802
ARHGAP32,18329,0.2801
OR51L1,617,0.2801
ENSG00000273184,18305,0.2801
RNF24,18329,0.28
PPIA,18188,0.2799
PRRC2A,18221,0.2799
AMOTL2,18144,0.2799
RPS6KA2-AS1,55,0.2799
LAMA3,18324,0.2799
ZNF37CP,126,0.2797
LINC01007,66,0.2795
ADGRA1-AS1,284,0.2795
PRKRIP1,18329,0.2795
ENSG00000255272,252,0.2793
PRC1,18066,0.2792
KLF6,18328,0.2792
CNNM4,18231,0.2791
ITGA6,18329,0.279
RNF213,18329,0.2789
CPEB4,18313,0.2789
KRT8P17,576,0.2787
ANXA2,18329,0.2787
RPSAP39,102,0.2787
SAFB2,18314,0.2785
DTNA,18329,0.2785
LMO7,18329,0.2785
NIP7P1,40,0.2785
ENSG00000214035,66,0.2784
CDC37,18265,0.2783
ATP2B1,18329,0.2783
SEC31A,18329,0.2782
NACAP10,38,0.278
DDX23,17962,0.278
MRPL48P1,125,0.278
MACF1,18329,0.278
MYO1D,18321,0.2779
ENSG00000277066,106,0.2779
SNX19P3,1074,0.2777
LINC02229,129,0.2776
ACTP1,203,0.2774
OGA,18329,0.2774
HMGN2P5,17126,0.2773
BHLHE40,18327,0.2772
ENSG00000240393,2738,0.2772
MARCKSL1,17909,0.2771
ENSG00000260860,107,0.2769
FOXP1,18328,0.2768
CYTOR,18293,0.2768
WDR1,18274,0.2768
RPL7AP48,52,0.2768
RPL21P16,20,0.2767
H2BC18,17455,0.2766
FNDC3B,18329,0.2766
STC1,18329,0.2766
PLBD2,18080,0.2765
NT5E,18272,0.2765
RNU5A-1,4735,0.2765
SEMA3A,18327,0.2764
PTMAP15,187,0.2762
HMGB2,18299,0.2761
TFDP2,18318,0.276
OR13I1P,143,0.276
ENSG00000286142,304,0.276
FAM9A,189,0.2759
TMEM214,18021,0.2758
LINC02498,308,0.2757
ENSG00000237325,163,0.2757
ENSG00000274415,145,0.2756
UBE2E2,18329,0.2755
DLEU1,18329,0.2754
ENSG00000288786,606,0.2752
Y_RNA-391,593,0.2752
ZNF664,17266,0.2752
ENSG00000266009,491,0.2751
PPP2R5E,18326,0.2751
PLEKHA4,18205,0.275
ENSG00000261774,202,0.2749
ENSG00000235371,497,0.2749
ENSG00000249780,4346,0.2748
RNU4-43P,483,0.2748
SENP6,18329,0.2748
ENSG00000267458,17493,0.2748
BIRC3,18317,0.2747
ENSG00000230803,5032,0.2746
PANDAR,143,0.2746
INCENP,17837,0.2745
ZC3HAV1,18325,0.2745
RN7SL391P,92,0.2741
ENSG00000286498,158,0.2741
MXD1,18283,0.2739
CSP1,44,0.2739
TUSC3,18315,0.2739
NPM1P39,15793,0.2738
ENSG00000285726,103,0.2735
MINK1,18232,0.2735
SPTBN1,18329,0.2734
H2BC12,17008,0.2733
KRT8P19,73,0.2732
DEFA6,37,0.2731
RAB6A,18329,0.273
SRSF6,18254,0.273
ENSG00000284673,61,0.2729
TNRC18,18315,0.2729
WASF2,18327,0.2728
LPCAT1,18182,0.2728
ARHGEF2,18260,0.2728
SEPTIN9,18329,0.2728
FTX,18329,0.2727
