gene,n_pairs,r
CAPN7,1598,0.4098
WAC,1600,0.4098
CDR2,1594,0.4097
ST13,1596,0.4096
ZNF805,1563,0.4095
TAOK3,1600,0.4095
KIF16B,1599,0.4094
PRKN,1596,0.4093
PSMC4,1576,0.4092
EIF3C,1538,0.4091
TGM2,1590,0.4091
CCNG2,1599,0.4091
ERRFI1,1600,0.409
DDX60L,1595,0.4089
BAZ2B,1598,0.4083
CLK4,1572,0.4081
CAMKMT,1600,0.408
NRG1,1598,0.4077
ARIH1,1600,0.4072
GLCCI1,1592,0.4065
AURKA,1559,0.4063
MRPL18,1565,0.4058
EHMT1,1600,0.4057
RAD54B,1590,0.4057
PEX3,1577,0.4055
INSIG1,1598,0.4054
WDR75,1589,0.4052
GRK3,1591,0.4051
RCOR1,1600,0.4049
EPHA2,1590,0.4049
SYNRG,1596,0.4048
FZR1,1573,0.4047
ANO10,1599,0.4047
PAK4,1584,0.4047
PBX3,1600,0.4046
IFIT1,1587,0.4046
PELI1,1598,0.4046
TESK2,1584,0.4044
PARK7,1580,0.4044
DYRK1A,1600,0.4044
RFX3,1598,0.4043
HNRNPUL1,1598,0.4042
VPS39,1589,0.4042
ETV6,1600,0.4042
ATAD5,1585,0.404
MAP3K3,1585,0.4039
VTI1A,1600,0.4039
HRH1,1599,0.4039
GAPDH,1600,0.4037
LIN54,1592,0.4035
ITGA5,1591,0.4032
PCNX4,1600,0.4031
MAST2,1592,0.4031
VWA8,1597,0.4031
CYTH1,1593,0.4026
MAP2K1,1600,0.4025
RB1CC1,1600,0.4025
ZFAND3,1600,0.4023
SCAPER,1600,0.4022
ADGRA1-AS1,30,0.4022
MX1,1590,0.402
INTS6,1600,0.4019
ATF3,1591,0.4019
MT2A,1600,0.4015
HDAC8,1600,0.4013
DHX57,1590,0.4012
HSPA5,1600,0.4008
OAS3,1589,0.4008
GOLPH3L,1600,0.4007
ILF3,1599,0.4006
LHFPL2,1598,0.4005
CAPN2,1600,0.4004
ACTG1,1600,0.4003
HMBOX1,1600,0.4003
ANXA2,1600,0.4003
ADAM17,1600,0.4002
TRPC1,1597,0.4001
PGAM1,1568,0.3999
ZNF277,1596,0.3998
COTL1,1590,0.3998
NR4A1,1594,0.3996
F3,1595,0.3996
DDOST,1584,0.3995
KIZ,1600,0.399
NHS,1600,0.399
DCAF5,1598,0.3989
PPP4R2,1600,0.3989
RSPRY1,1599,0.3988
KIF1B,1600,0.3987
GANAB,1596,0.3984
YTHDC1,1596,0.3984
CRADD,1600,0.3983
TRIO,1600,0.3983
ZMIZ1,1599,0.3982
ZSWIM8,1581,0.3982
PKM,1600,0.3981
PYCR1,1551,0.3978
PDIA3,1600,0.3978
AREG,1600,0.3975
RLF,1600,0.3974
KLF7,1600,0.3973
ATG10,1596,0.3972
NCOA7,1599,0.3972
ATG4C,1563,0.397
CRTC3,1596,0.3969
MXD1,1594,0.3967
PHF20,1599,0.3966
TRIM23,1574,0.3965
HCFC2,1575,0.3965
SDCBP2-AS1,1559,0.3965
FNDC3A,1600,0.3965
SIRT1,1596,0.3964
ATP6V0A1,1595,0.3962
SMAD4,1596,0.396
HS2ST1,1600,0.3959
HMGB2,1596,0.3955
VPS54,1600,0.3954
RFX2,1584,0.3953
CTNND1,1600,0.395
RAI1,1594,0.395
EFNA5,1600,0.395
MYL6,1597,0.3948
FBXO28,1598,0.3947
TLK2,1595,0.3946
SETX,1600,0.3946
UHRF2,1600,0.3945
AKAP8L,1586,0.3943
ATP1A1,1600,0.3941
CHSY1,1600,0.394
ZNF516,1590,0.394
SDHA,1594,0.3938
MAP3K12,1564,0.3937
SIN3A,1598,0.3933
EEF1B2,1598,0.3933
TNRC6C,1599,0.3932
TMEM131L,1587,0.3931
CDC5L,1598,0.393
PFKFB4,1600,0.393
MIR100HG,1597,0.3928
LEMD3,1598,0.3927
NOL4L,1566,0.3927
RELB,1584,0.3925
NOD1,1575,0.3923
PRELID3B,1576,0.3923
TYMS,1559,0.3921
MYO1D,1600,0.3921
BEST1,1544,0.3921
HGSNAT,1588,0.3921
FAF1,1600,0.3918
FKBP1A,1585,0.3916
