patient,drug,n_rows,n_plates,n_plates_half0,n_plates_half1,n_dose_levels
ACH-000311,Dinaciclib,188130,3,1,2,3
ACH-000311,Docetaxel,250840,4,2,2,3
ACH-000311,Erlotinib,188130,3,1,2,3
ACH-000311,Fulvestrant,188130,3,1,2,3
ACH-000311,Gefitinib,188130,3,1,2,3
ACH-000311,Gemcitabine,188130,3,1,2,3
ACH-000311,Ipatasertib,188130,3,1,2,3
ACH-000311,Irinotecan,188130,3,1,2,3
ACH-000311,LJI308,188130,3,1,2,3
ACH-000311,Methotrexate,188130,3,1,2,3
ACH-000311,Oxaliplatin,188130,3,1,2,3
ACH-000311,Paclitaxel,188130,3,1,2,3
ACH-000311,Rapamycin,250840,4,2,2,3
ACH-000311,Retinoic acid,250840,4,2,2,3
ACH-000311,Ribociclib,188130,1,1,0,3
ACH-000311,Temsirolimus,250840,4,2,2,3
ACH-000311,Trametinib,376260,6,2,4,3
ACH-000311,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000311,Vismodegib,188130,3,1,2,3
ACH-000311,crizotinib,188130,3,1,2,3
ACH-000311,olaparib,188130,3,2,1,3
ACH-000311,palbociclib,188130,3,1,2,3
ACH-000311,venetoclax,188130,3,1,2,3
ACH-000348,5-Azacytidine,188130,3,1,2,3
ACH-000348,5-Fluorouracil,188130,3,1,2,3
ACH-000348,AZD-8055,188130,3,1,2,3
ACH-000348,Afatinib,564390,7,3,4,3
ACH-000348,Alpelisib,188130,3,1,2,3
ACH-000348,Bicalutamide,188130,3,1,2,3
ACH-000348,Bortezomib,188130,3,1,2,3
ACH-000348,Capivasertib,188130,3,1,2,3
ACH-000348,Cytarabine,376260,4,2,2,3
ACH-000348,Dabrafenib,188130,3,1,2,3
ACH-000348,Dinaciclib,188130,3,1,2,3
ACH-000348,Docetaxel,250840,4,2,2,3
ACH-000348,Erlotinib,188130,3,1,2,3
ACH-000348,Fulvestrant,188130,3,1,2,3
ACH-000348,Gefitinib,188130,3,1,2,3
ACH-000348,Gemcitabine,188130,3,1,2,3
ACH-000348,Ipatasertib,188130,3,1,2,3
ACH-000348,Irinotecan,188130,3,1,2,3
ACH-000348,LJI308,188130,3,1,2,3
ACH-000348,Methotrexate,188130,3,1,2,3
ACH-000348,Oxaliplatin,188130,3,1,2,3
ACH-000348,Paclitaxel,188130,3,1,2,3
ACH-000348,Rapamycin,250840,4,2,2,3
ACH-000348,Retinoic acid,250840,4,2,2,3
ACH-000348,Ribociclib,188130,1,1,0,3
ACH-000348,Temsirolimus,250840,4,2,2,3
ACH-000348,Trametinib,376260,6,2,4,3
ACH-000348,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000348,Vismodegib,188130,3,1,2,3
ACH-000348,crizotinib,188130,3,1,2,3
ACH-000348,olaparib,250840,4,2,2,3
ACH-000348,palbociclib,188130,3,1,2,3
ACH-000348,venetoclax,188130,3,1,2,3
ACH-000389,5-Azacytidine,188130,3,1,2,3
ACH-000389,5-Fluorouracil,188130,3,1,2,3
ACH-000389,AZD-8055,188130,3,1,2,3
ACH-000389,Afatinib,564390,7,3,4,3
ACH-000389,Alpelisib,188130,3,1,2,3
ACH-000389,Bicalutamide,188130,3,1,2,3
ACH-000389,Bortezomib,188130,3,1,2,3
ACH-000389,Capivasertib,188130,3,1,2,3
ACH-000389,Cytarabine,376260,4,2,2,3
ACH-000389,Dabrafenib,188130,3,1,2,3
ACH-000389,Dinaciclib,188130,3,1,2,3
ACH-000389,Docetaxel,250840,4,2,2,3
ACH-000389,Erlotinib,188130,3,1,2,3
ACH-000389,Fulvestrant,188130,3,1,2,3
ACH-000389,Gefitinib,188130,3,1,2,3
ACH-000389,Gemcitabine,188130,3,1,2,3
ACH-000389,Ipatasertib,188130,3,1,2,3
ACH-000389,Irinotecan,188130,3,1,2,3
ACH-000389,LJI308,188130,3,1,2,3
ACH-000389,Methotrexate,188130,3,1,2,3
ACH-000389,Oxaliplatin,188130,3,1,2,3
ACH-000389,Paclitaxel,188130,3,1,2,3
ACH-000389,Rapamycin,250840,4,2,2,3
ACH-000389,Retinoic acid,250840,4,2,2,3
ACH-000389,Ribociclib,188130,1,1,0,3
ACH-000389,Temsirolimus,250840,4,2,2,3
ACH-000389,Trametinib,376260,6,2,4,3
ACH-000389,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000389,Vismodegib,188130,3,1,2,3
ACH-000389,crizotinib,188130,3,1,2,3
ACH-000389,olaparib,250840,4,2,2,3
ACH-000389,palbociclib,188130,3,1,2,3
ACH-000389,venetoclax,188130,3,1,2,3
ACH-000396,5-Azacytidine,188130,3,1,2,3
ACH-000396,5-Fluorouracil,188130,3,1,2,3
ACH-000396,AZD-8055,188130,3,1,2,3
ACH-000396,Afatinib,564390,7,3,4,3
ACH-000396,Alpelisib,188130,3,1,2,3
ACH-000396,Bicalutamide,188130,3,1,2,3
ACH-000396,Bortezomib,188130,3,1,2,3
ACH-000396,Capivasertib,188130,3,1,2,3
ACH-000396,Cytarabine,376260,4,2,2,3
ACH-000396,Dabrafenib,188130,3,1,2,3
ACH-000396,Dinaciclib,188130,3,1,2,3
ACH-000396,Docetaxel,250840,4,2,2,3
ACH-000396,Erlotinib,188130,3,1,2,3
ACH-000396,Fulvestrant,188130,3,1,2,3
ACH-000396,Gefitinib,188130,3,1,2,3
ACH-000396,Gemcitabine,188130,3,1,2,3
ACH-000396,Ipatasertib,188130,3,1,2,3
ACH-000396,Irinotecan,188130,3,1,2,3
ACH-000396,LJI308,188130,3,1,2,3
ACH-000396,Methotrexate,188130,3,1,2,3
ACH-000396,Oxaliplatin,188130,3,1,2,3
ACH-000396,Paclitaxel,188130,3,1,2,3
ACH-000396,Rapamycin,250840,4,2,2,3
ACH-000396,Retinoic acid,250840,4,2,2,3
ACH-000396,Ribociclib,188130,1,1,0,3
ACH-000396,Temsirolimus,250840,4,2,2,3
ACH-000396,Trametinib,376260,6,2,4,3
ACH-000396,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000396,Vismodegib,188130,3,1,2,3
ACH-000396,crizotinib,188130,3,1,2,3
ACH-000396,olaparib,250840,4,2,2,3
ACH-000396,palbociclib,188130,3,1,2,3
ACH-000396,venetoclax,188130,3,1,2,3
ACH-000437,5-Azacytidine,188130,3,1,2,3
ACH-000437,5-Fluorouracil,188130,3,1,2,3
ACH-000437,AZD-8055,188130,3,1,2,3
